Date,Close/Last
10/10/2016,$116.05
10/07/2016,$114.06
10/06/2016,$113.89
10/05/2016,$113.05
10/04/2016,$113
10/03/2016,$112.52
09/30/2016,$113.05
09/29/2016,$112.18
09/28/2016,$113.95
09/27/2016,$113.09
09/26/2016,$112.88
09/23/2016,$112.71
09/22/2016,$114.62
09/21/2016,$113.55
09/20/2016,$113.57
09/19/2016,$113.58
09/16/2016,$114.92
09/15/2016,$115.57
09/14/2016,$111.77
09/13/2016,$107.95
09/12/2016,$105.44
09/09/2016,$103.13
09/08/2016,$105.52
09/07/2016,$108.36
09/06/2016,$107.7
09/02/2016,$107.73
09/01/2016,$106.73
08/31/2016,$106.1
08/30/2016,$106
08/29/2016,$106.82
08/26/2016,$106.94
08/25/2016,$107.57
08/24/2016,$108.03
08/23/2016,$108.85
08/22/2016,$108.51
08/19/2016,$109.36
08/18/2016,$109.08
08/17/2016,$109.22
08/16/2016,$109.38
08/15/2016,$109.48
08/12/2016,$108.18
08/11/2016,$107.93
08/10/2016,$108
08/09/2016,$108.81
08/08/2016,$108.37
08/05/2016,$107.48
08/04/2016,$105.87
08/03/2016,$105.79
08/02/2016,$104.48
08/01/2016,$106.05
07/29/2016,$104.21
07/28/2016,$104.34
07/27/2016,$102.95
07/26/2016,$96.67
07/25/2016,$97.34
07/22/2016,$98.66
07/21/2016,$99.43
07/20/2016,$99.96
07/19/2016,$99.87
07/18/2016,$99.83
07/15/2016,$98.78
07/14/2016,$98.79
07/13/2016,$96.87
07/12/2016,$97.42
07/11/2016,$96.98
07/08/2016,$96.68
07/07/2016,$95.94
07/06/2016,$95.53
07/05/2016,$94.99
07/01/2016,$95.89
06/30/2016,$95.6
06/29/2016,$94.4
06/28/2016,$93.59
06/27/2016,$92.04
06/24/2016,$93.4
06/23/2016,$96.1
06/22/2016,$95.55
06/21/2016,$95.91
06/20/2016,$95.1
06/17/2016,$95.33
06/16/2016,$97.55
06/15/2016,$97.14
06/14/2016,$97.46
06/13/2016,$97.34
06/10/2016,$98.83
06/09/2016,$99.65
06/08/2016,$98.94
06/07/2016,$99.03
06/06/2016,$98.63
06/03/2016,$97.92
06/02/2016,$97.72
06/01/2016,$98.46
05/31/2016,$99.86
05/27/2016,$100.35
05/26/2016,$100.41
05/25/2016,$99.62
05/24/2016,$97.9
05/23/2016,$96.43
05/20/2016,$95.22
05/19/2016,$94.2
05/18/2016,$94.56
05/17/2016,$93.49
05/16/2016,$93.88
05/13/2016,$90.52
05/12/2016,$90.34
05/11/2016,$92.51
05/10/2016,$93.42
05/09/2016,$92.79
05/06/2016,$92.72
05/05/2016,$93.24
05/04/2016,$94.19
05/03/2016,$95.18
05/02/2016,$93.64
04/29/2016,$93.74
04/28/2016,$94.83
04/27/2016,$97.82
04/26/2016,$104.35
04/25/2016,$105.08
04/22/2016,$105.68
04/21/2016,$105.97
04/20/2016,$107.13
04/19/2016,$106.91
04/18/2016,$107.48
04/15/2016,$109.85
04/14/2016,$112.1
04/13/2016,$112.04
04/12/2016,$110.44
04/11/2016,$109.02
04/08/2016,$108.66
04/07/2016,$108.54
04/06/2016,$110.96
04/05/2016,$109.81
04/04/2016,$111.12
04/01/2016,$109.99
03/31/2016,$108.99
03/30/2016,$109.56
03/29/2016,$107.68
03/28/2016,$105.19
03/24/2016,$105.67
03/23/2016,$106.13
03/22/2016,$106.72
03/21/2016,$105.91
03/18/2016,$105.92
03/17/2016,$105.8
03/16/2016,$105.97
03/15/2016,$104.58
03/14/2016,$102.52
03/11/2016,$102.26
03/10/2016,$101.17
03/09/2016,$101.12
03/08/2016,$101.03
03/07/2016,$101.87
03/04/2016,$103.01
03/03/2016,$101.5
03/02/2016,$100.75
03/01/2016,$100.53
02/29/2016,$96.69
02/26/2016,$96.91
02/25/2016,$96.76
02/24/2016,$96.1
02/23/2016,$94.69
02/22/2016,$96.88
02/19/2016,$96.04
02/18/2016,$96.26
02/17/2016,$98.12
02/16/2016,$96.64
02/12/2016,$93.99
02/11/2016,$93.7
02/10/2016,$94.27
02/09/2016,$94.99
02/08/2016,$95.01
02/05/2016,$94.02
02/04/2016,$96.6
02/03/2016,$96.35
02/02/2016,$94.48
02/01/2016,$96.43
01/29/2016,$97.34
01/28/2016,$94.09
01/27/2016,$93.42
01/26/2016,$99.99
01/25/2016,$99.44
01/22/2016,$101.42
01/21/2016,$96.3
01/20/2016,$96.79
01/19/2016,$96.66
01/15/2016,$97.13
01/14/2016,$99.52
01/13/2016,$97.39
01/12/2016,$99.96
01/11/2016,$98.53
01/08/2016,$96.96
01/07/2016,$96.45
01/06/2016,$100.7
01/05/2016,$102.71
01/04/2016,$105.35
12/31/2015,$105.26
12/30/2015,$107.32
12/29/2015,$108.74
12/28/2015,$106.82
12/24/2015,$108.03
12/23/2015,$108.61
12/22/2015,$107.23
12/21/2015,$107.33
12/18/2015,$106.03
12/17/2015,$108.98
12/16/2015,$111.34
12/15/2015,$110.49
12/14/2015,$112.48
12/11/2015,$113.18
12/10/2015,$116.17
12/09/2015,$115.62
12/08/2015,$118.23
12/07/2015,$118.28
12/04/2015,$119.03
12/03/2015,$115.2
12/02/2015,$116.28
12/01/2015,$117.34
11/30/2015,$118.3
11/27/2015,$117.81
11/25/2015,$118.03
11/24/2015,$118.88
11/23/2015,$117.75
11/20/2015,$119.3
11/19/2015,$118.78
11/18/2015,$117.29
11/17/2015,$113.69
11/16/2015,$114.175
11/13/2015,$112.34
11/12/2015,$115.72
11/11/2015,$116.11
11/10/2015,$116.77
11/09/2015,$120.57
11/06/2015,$121.06
11/05/2015,$120.92
11/04/2015,$122
11/03/2015,$122.57
11/02/2015,$121.18
10/30/2015,$119.5
10/29/2015,$120.53
10/28/2015,$119.27
10/27/2015,$114.55
10/26/2015,$115.28
10/23/2015,$119.08
10/22/2015,$115.5
10/21/2015,$113.76
10/20/2015,$113.77
10/19/2015,$111.73
10/16/2015,$111.04
10/15/2015,$111.86
10/14/2015,$110.21
10/13/2015,$111.79
10/12/2015,$111.6
10/09/2015,$112.12
10/08/2015,$109.5
10/07/2015,$110.78
10/06/2015,$111.31
10/05/2015,$110.78
10/02/2015,$110.38
10/01/2015,$109.58
09/30/2015,$110.3
09/29/2015,$109.06
09/28/2015,$112.44
09/25/2015,$114.71
09/24/2015,$115
09/23/2015,$114.32
09/22/2015,$113.4
09/21/2015,$115.21
09/18/2015,$113.45
09/17/2015,$113.92
09/16/2015,$116.41
09/15/2015,$116.28
09/14/2015,$115.31
09/11/2015,$114.21
09/10/2015,$112.57
09/09/2015,$110.15
09/08/2015,$112.31
09/04/2015,$109.27
09/03/2015,$110.37
09/02/2015,$112.34
09/01/2015,$107.72
08/31/2015,$112.76
08/28/2015,$113.29
08/27/2015,$112.92
08/26/2015,$109.69
08/25/2015,$103.74
08/24/2015,$103.12
08/21/2015,$105.76
08/20/2015,$112.65
08/19/2015,$115.01
08/18/2015,$116.5
08/17/2015,$117.16
08/14/2015,$115.96
08/13/2015,$115.15
08/12/2015,$115.24
08/11/2015,$113.49
08/10/2015,$119.72
08/07/2015,$115.52
08/06/2015,$115.13
08/05/2015,$115.4
08/04/2015,$114.64
08/03/2015,$118.44
07/31/2015,$121.3
07/30/2015,$122.37
07/29/2015,$122.99
07/28/2015,$123.38
07/27/2015,$122.77
07/24/2015,$124.5
07/23/2015,$125.16
07/22/2015,$125.22
07/21/2015,$130.75
07/20/2015,$132.07
07/17/2015,$129.62
07/16/2015,$128.51
07/15/2015,$126.82
07/14/2015,$125.61
07/13/2015,$125.66
07/10/2015,$123.28
07/09/2015,$120.07
07/08/2015,$122.57
07/07/2015,$125.69
07/06/2015,$126
07/02/2015,$126.44
07/01/2015,$126.6
06/30/2015,$125.425
06/29/2015,$124.53
06/26/2015,$126.75
06/25/2015,$127.5
06/24/2015,$128.11
06/23/2015,$127.03
06/22/2015,$127.61
06/19/2015,$126.6
06/18/2015,$127.88
06/17/2015,$127.3
06/16/2015,$127.6
06/15/2015,$126.92
06/12/2015,$127.17
06/11/2015,$128.59
06/10/2015,$128.88
06/09/2015,$127.42
06/08/2015,$127.8
06/05/2015,$128.65
06/04/2015,$129.36
06/03/2015,$130.12
06/02/2015,$129.96
06/01/2015,$130.535
05/29/2015,$130.28
05/28/2015,$131.78
05/27/2015,$132.045
05/26/2015,$129.62
05/22/2015,$132.54
05/21/2015,$131.39
05/20/2015,$130.06
05/19/2015,$130.07
05/18/2015,$130.19
05/15/2015,$128.77
05/14/2015,$128.95
05/13/2015,$126.01
05/12/2015,$125.865
05/11/2015,$126.32
05/08/2015,$127.62
05/07/2015,$125.26
05/06/2015,$125.01
05/05/2015,$125.8
05/04/2015,$128.7
05/01/2015,$128.95
04/30/2015,$125.15
04/29/2015,$128.64
04/28/2015,$130.56
04/27/2015,$132.65
04/24/2015,$130.28
04/23/2015,$129.67
04/22/2015,$128.62
04/21/2015,$126.91
04/20/2015,$127.6
04/17/2015,$124.75
04/16/2015,$126.17
04/15/2015,$126.78
04/14/2015,$126.3
04/13/2015,$126.85
04/10/2015,$127.1
04/09/2015,$126.56
04/08/2015,$125.6
04/07/2015,$126.01
04/06/2015,$127.35
04/02/2015,$125.32
04/01/2015,$124.25
03/31/2015,$124.43
03/30/2015,$126.37
03/27/2015,$123.25
03/26/2015,$124.24
03/25/2015,$123.38
03/24/2015,$126.69
03/23/2015,$127.21
03/20/2015,$125.9
03/19/2015,$127.495
03/18/2015,$128.47
03/17/2015,$127.04
03/16/2015,$124.95
03/13/2015,$123.59
03/12/2015,$124.45
03/11/2015,$122.24
03/10/2015,$124.51
03/09/2015,$127.14
03/06/2015,$126.6
03/05/2015,$126.41
03/04/2015,$128.54
03/03/2015,$129.36
03/02/2015,$129.09
02/27/2015,$128.46
02/26/2015,$130.415
